id,,imdb_title_id,title,original_title,year,genre,country,language,votes
116,,tt3968088,"Sophie Gold, the Diary of a Gold Digger","Sophie Gold, the Diary of a Gold Digger",2018,Drama,USA,English,107
117,,tt4026044,Genezis,Genezis,2018,Drama,Hungary,Hungarian,331
118,,tt4037876,Rafaël,Rafaël,2018,Drama,"Netherlands, Belgium, Croatia","English, Dutch, Italian, Arabic",206
119,,tt4042818,La mia vita con John F. Donovan,The Death & Life of John F. Donovan,2018,Drama,"UK, Canada","English, Czech",4870
120,,tt4180556,Affairs of State - Intrighi di Stato,Affairs of State,2018,Drama,USA,English,747
121,,tt4183200,Mafak,Mafak,2018,Drama,"Palestine, USA, Qatar","Arabic, Hebrew",156
122,,tt4224754,Tiger,Tiger,2018,Drama,"USA, Canada",English,615
123,,tt4286760,Taipei - City of Love,High Resolution,2018,Drama,USA,English,200
124,,tt4389006,Fiore gemello,Fiore gemello,2018,Drama,Italy,"Italian, French",164
125,,tt4465538,Juveniles,Juveniles,2018,Drama,USA,English,137
126,,tt4481066,Giant Little Ones,Giant Little Ones,2018,Drama,Canada,English,5281
127,,tt4488744,Un traductor,Un traductor,2018,Drama,"Cuba, Canada","Spanish, Russian",557
137,,tt6257174,La diseducazione di Cameron Post,The Miseducation of Cameron Post,2018,Drama,"USA, UK",English,17874
138,,tt6258766,Toppen av ingenting,Toppen av ingenting,2018,Drama,"Sweden, UK",Swedish,278
139,,tt6263618,Un valzer tra gli scaffali,In den Gängen,2018,Drama,Germany,German,3643
140,,tt6415214,Harajuku,Harajuku,2018,Drama,Norway,Norwegian,319
141,,tt6421118,Songbird,Songbird,2018,Drama,UK,,441
142,,tt6438398,Catacombe,Catacombe,2018,Drama,"Belgium, Netherlands","English, Mandarin, Dutch, Papiamento",342
143,,tt6446550,The Parting Glass,The Parting Glass,2018,Drama,USA,English,297
144,,tt6456222,Nostalgia,Nostalgia,2018,Drama,USA,English,1010
145,,tt6461828,Brakland,Brakland,2018,Drama,"Denmark, Iceland",Danish,140
146,,tt6463494,3 Tage in Quiberon,3 Tage in Quiberon,2018,Drama,"Germany, Austria, France, Belgium","German, French, English",1140
147,,tt6559390,L'apparizione,L'apparition,2018,Drama,"France, Belgium, Jordan","French, Italian, German, English",1222
148,,tt6590856,Pause,Pause,2018,Drama,"Cyprus, Greece","Greek, English",581
