id,id,imdb_title_id,title,original_title,year,genre,country,language,votes,,,,,
251,251,tt11534356,Masallardan Geriye Kalan,Masallardan Geriye Kalan,2020,Romance,Turkey,Turkish,295,,,,,
252,252,tt11730940,Bamfaad,Bamfaad,2020,Romance,India,Hindi,1522,,,,,
253,253,tt4257940,The Lost Husband,The Lost Husband,2020,Romance,USA,English,2234,,,,,
254,254,tt7939428,10 cose da fare prima di lasciarsi,10 Things We Should Do Before We Break Up,2020,Romance,USA,English,486,,,,,
255,255,tt8809750,Last Letter,Last Letter,2020,Romance,Japan,Japanese,160,,,,,
256,256,tt9749144,Icing on the Cake,Icing on the Cake,2020,Romance,USA,English,134,,,,,
257,257,tt11086254,The Alpha Test,The Alpha Test,2020,Sci-Fi,USA,English,257,,,,,
258,258,tt11765278,Collision Earth,Collision Earth,2020,Sci-Fi,USA,English,288,,,,,
259,259,tt12159766,Trigger Points,Trigger Points,2020,Sci-Fi,UK,English,175,,,,,
260,260,tt6409856,Alien Outbreak,Alien Outbreak,2020,Sci-Fi,UK,English,322,,,,,
261,261,tt6876854,The Brink,The Brink,2020,Sci-Fi,UK,English,770,,,,,
262,262,tt6882604,Archive,Archive,2020,Sci-Fi,"UK, Hungary, USA",English,4804,,,,,
263,263,tt7159566,Transference: Escape the Dark,Transference: Escape the Dark,2020,Sci-Fi,Canada,English,273,,,,,
264,264,tt8064418,Assassin 33 A.D.,Assassin 33 A.D.,2020,Sci-Fi,USA,English,956,,,,,
265,265,tt8134980,Battlefield 2025,Battlefield 2025,2020,Sci-Fi,USA,English,132,,,,,
266,266,tt9812258,G-Loc,G-Loc,2020,Sci-Fi,UK,English,1012,,,,,
267,267,tt7562334,Lady Driver,Lady Driver,2020,Sport,USA,English,700,,,,,
268,268,tt10054876,Zero Distance,Zero Distance,2020,Thriller,Saudi Arabia,Arabic,240,,,,,
269,269,tt10101774,The Party Planner,The Party Planner,2020,Thriller,USA,English,143,,,,,
270,270,tt10293308,A Killer Next Door,A Killer Next Door,2020,Thriller,UK,English,197,,,,,
271,271,tt10332854,Alone,Alone,2020,Thriller,USA,English,514,,,,,
272,272,tt10378926,Long Lost Sister,Long Lost Sister,2020,Thriller,USA,English,126,,,,,
273,273,tt10461740,The Au Pair,The Au Pair,2020,Thriller,USA,English,113,,,,,
274,274,tt10525236,A Daughter's Ordeal,A Daughter's Ordeal,2020,Thriller,USA,English,154,,,,,
275,275,tt10529644,Copper Bill,Copper Bill,2020,Thriller,USA,English,112,,,,,
